BGE PTEMP DAM ABATE COLOR

-2.22053617083888 71 0.999358565490828 1.45116541830105 #79C3E7
-2.0291088075592 37 1.16735551559492 1.20984433260032 #96A0FF
-1.95080898448099 26 1.06816436871864 1.1827323490556 #988EFF
-1.95755163238329 26 1.19602958216506 1.13478212578172 #9890FF
-2.04462113876485 0 4.35062550625941 0.104139299068729 #95A3FF
-2.28696966815545 81 0.890913726560328 1.54480463985564 #69CDD0
-1.99669909977651 0 4.09462163350066 0.131984422596108 #9899FF
-2.05829357489509 0 4.13406005574535 0.116405872880269 #94A6FF
-2.26324897235142 78 0.797943376082252 1.5830542009471 #6FC9D8
-1.9889802860338 0 3.92768948071054 0.143846579850873 #9897FF
-2.13503268683439 0 4.79916597538768 0.0654242388880103 #8AB4FF
-2.06381400683808 0 4.12921098214762 0.116496545127351 #93A7FF
-2.01244505550353 36 0.988421701559301 1.27501322266522 #979CFF
-1.8753631272417 0 3.14864496943231 0.252640976873089 #937BFF
-1.81298298318715 0 2.74526625374184 0.332828222055447 #8A6AFF
-2.12777160370161 0 4.36845213043312 0.0941389257291361 #8BB3FF
-1.94777770622616 0 3.64838119702926 0.178069968428652 #988DFF
-2.05113882847618 0 4.21280324635833 0.110338886890313 #94A4FF
-2.11739263464368 0 4.60368876443108 0.0767469370975035 #8CB1FF
-2.01339256293256 0 4.08245126766173 0.126930419082775 #979CFF
-2.06797569043364 0 4.18996212507987 0.110788413649751 #93A8FF
-2.00341491385601 0 4.18999590566726 0.126085714457027 #979AFF
-1.71103879273469 1 1.64724336856899 0.678663005164904 #6F4CFF
-1.76799421100073 0 2.35945718837282 0.420090591744917 #805DFF
-1.94695879801434 0 3.48085186472715 0.196188717040398 #988DFF
-1.85086358506572 0 2.86643066408831 0.299690826415147 #9075FF
-1.78532394813486 0 2.49233148155242 0.385315646915527 #8462FF
-2.2361562020623 0 5.09034378568175 0.0436059011396389 #75C5E2
-1.74527592215825 0 2.13481129298884 0.483899467508256 #7A56FF
-1.91336810082388 0 3.46223917216136 0.206293347849709 #9785FF
-2.0429997932021 0 4.15384253054431 0.116092167158791 #95A3FF
-1.97933509652142 0 4.01191680529179 0.143023114879094 #9895FF
-2.17895358177083 0 4.81435754535505 0.0602853418326643 #82BCF4
-2.03789088907704 0 4.09134998481688 0.121840673216518 #95A1FF
-1.99999386701533 0 4.05796340659384 0.132230790123617 #9899FF
-2.64705220414938 98 0.768320154363353 1.86708987311398 #0CF147
